predictor,response
2.2532,-0.89
1.5163,2.2168
1.3822,2.2577
0.1607,0.5027
2.1288,-0.2589
1.8858,0.6479
0.2621,0.5708
2.6486,-0.2555
2.2195,3.4724
0.5738,1.2471
0.1271,0.2765
0.8533,1.8629
1.5852,3.8922
0.8354,1.6565
2.9952,0.4711
0.8296,1.7968
2.308,1.4645
1.7732,1.5484
2.906,0.0706
2.0292,1.8495
0.1803,0.8637
2.3578,0.8926
1.2696,2.9524
2.9041,-0.3461
1.5501,2.416
2.8229,-0.8259
0.5628,2.7934
0.5752,1.3292
0.8561,2.7601
1.6356,2.21
2.3455,1.8462
1.306,14.2078
0.7071,0.9834
0.036,0.4345
0.0424,0.3308
0.9572,1.2621
1.5819,1.6527
1.1309,2.4626
1.3089,2.749
0.5413,1.6979
2.6027,1.5351
2.2177,1.8847
0.6319,15.5055
1.421,2.4994
1.7922,2.7381
1.6854,2.9333
2.6877,1.3717
1.2724,3.6287
2.2355,2.2911
1.5083,1.8084
2.5399,2.458
2.2593,0.5276
2.3212,2.1462
0.1686,0.9203
1.0339,2.4941
0.6466,1.3812
0.671,2.5863
0.2507,0.4385
0.5147,1.1268
0.1183,0.2567
3.9364,-1.2551
3.7515,-11.9866
3.1383,-0.7133
3.7218,0.082
4.4332,-0.9198
3.4868,0.281
4.9824,1.2936
4.9664,15.5623
