predictor,response
2.2532,-7.9588
1.5163,1.9341
1.3822,2.4213
0.1607,-0.0498
2.1288,2.4823
1.8858,1.6099
0.2621,1.4847
2.6486,2.2854
2.2195,1.3323
0.5738,1.8356
0.1271,0.433
0.8533,1.8428
1.5852,2.1316
0.8354,2.2853
2.9952,-0.1683
0.8296,1.3948
2.308,1.436
1.7732,2.4358
2.906,-0.2072
2.0292,-10.5451
0.1803,0.125
2.3578,1.3152
1.2696,1.8033
2.9041,-0.4274
1.5501,2.5557
2.8229,0.6235
0.5628,0.633
0.5752,0.433
0.8561,2.1673
1.6356,1.9782
2.3455,0.0271
1.306,1.8737
0.7071,2.0049
0.036,0.0999
0.0424,0.5809
0.9572,1.6428
1.5819,2.6366
1.1309,2.9957
1.3089,2.3648
0.5413,1.6095
2.6027,-0.5016
2.2177,2.2784
0.6319,1.1779
1.421,1.0293
1.7922,1.709
1.6854,1.9815
2.6877,1.143
1.2724,2.7135
2.2355,2.2822
1.5083,1.7638
2.5399,-0.1531
2.2593,2.2521
2.3212,1.9086
0.1686,0.4175
1.0339,2.9428
0.6466,1.1447
0.671,2.5106
0.2507,0.8244
0.5147,1.7933
0.1183,0.5827
1.4045,1.1422
1.1273,3.324
0.2075,-0.1644
1.0827,2.9377
2.1499,1.2289
0.7302,2.5417
2.9736,0.3316
2.9497,-0.8504
1.4955,1.7124
0.0465,0.4921
0.7934,1.1301
1.914,3.353
0.282,0.2755
2.9403,1.1239
1.5597,12.047
0.1715,1.2771
0.3134,0.3228
0.4575,0.3031
0.0679,0.9207
1.1482,3.2995
0.3522,0.9666
0.4551,1.9295
2.6784,0.8553
1.5322,1.6201
1.8915,1.5329
2.8165,1.8002
1.5286,2.6998
2.3059,1.3723
2.7718,-0.7861
0.4881,1.9794
0.5703,1.6707
0.1221,0.0405
0.3908,1.5457
1.4567,2.4389
0.2745,0.8598
0.0356,0.7417
0.6102,1.3586
2.6842,2.3561
2.4366,1.6388
0.0071,-0.3357
0.7145,2.0336
1.3061,3.4951
2.459,0.8751
1.0736,1.7745
2.0595,2.4894
1.1809,1.5012
1.6026,3.2571
1.7287,2.1287
1.3094,0.3599
1.9156,1.2927
2.027,1.4346
0.393,0.8748
1.9912,16.7206
0.1596,0.4037
2.7491,1.4999
0.7405,-11.9193
0.4897,1.1551
2.7687,0.2337
1.4996,1.7211
0.7145,2.239
2.4555,-12.0463
0.9383,2.7206
2.8351,2.5741
2.1032,3.5668
0.7114,1.7693
1.2601,1.2214
0.3265,-12.272
2.4378,2.0724
0.1319,0.3737
2.2816,1.1955
1.3144,2.6449
0.7866,1.4052
0.4175,-12.5938
0.9939,2.4018
2.4356,2.2481
2.4932,0.9701
2.7174,0.9227
1.6808,1.3378
1.4374,2.382
1.4095,2.3332
2.2392,0.5435
1.2714,1.9786
2.6228,-1.581
0.9937,2.5625
0.8517,2.9899
1.0996,2.1774
2.9495,1.3681
2.1923,-0.0188
0.8024,0.8965
1.2065,3.1098
2.6696,-0.7413
2.6646,-0.2252
2.085,0.9816
1.3158,2.2302
2.9867,1.931
1.5429,3.2533
0.3025,0.5987
0.7129,1.8397
0.7595,2.0576
2.3489,1.1621
1.5792,1.657
0.3863,0.1166
2.0068,2.2207
0.7408,2.2452
1.1391,2.2172
0.2716,0.2363
2.7704,1.0409
0.986,2.5233
0.094,1.0112
1.7844,-0.0769
0.5949,-8.9343
1.7381,1.5144
0.1395,-0.5553
0.1946,0.323
2.8036,0.3052
0.6064,1.294
2.7488,1.039
2.0448,3.3827
0.3877,0.7961
2.3069,2.0402
2.1697,14.9414
0.105,0.2594
2.1211,0.7434
1.6252,2.7397
1.3296,2.3168
2.1582,1.5104
0.8652,2.3292
1.3741,1.8742
1.7303,1.5509
0.2252,0.8665
0.2567,0.7523
1.101,1.261
1.1274,2.3806
1.626,3.0124
1.1891,3.1891
2.2713,1.3255
1.5574,2.56
0.2087,0.8314
1.197,1.9625
2.5894,-0.3266
2.0297,0.6604
2.7665,3.4228
1.8083,1.8243
1.7069,2.2951
0.8823,1.4378
2.916,-0.2676
0.4255,1.7002
2.0476,1.2661
2.6427,0.2141
1.4825,2.7061
0.4188,1.185
0.8609,0.6696
2.6617,-8.8519
2.8585,0.8036
1.172,2.7423
1.3859,1.9991
1.3118,2.9425
2.2409,1.5772
1.2263,2.2924
1.2408,-8.425
0.7504,1.596
2.956,0.6259
0.0976,0.4961
2.007,3.0533
1.8088,1.9672
1.0068,2.2914
1.9774,1.3112
1.7741,2.3961
2.3545,0.7214
2.2767,1.258
1.3744,15.1697
1.5404,3.1849
1.331,3.0851
0.838,1.7171
0.3464,-13.4356
1.3642,1.0897
0.5275,0.8906
1.146,4.1936
2.8102,-13.8395
2.8918,0.4692
1.211,2.3588
2.0609,1.7127
2.8348,1.9272
2.5117,1.5664
0.655,1.7864
0.7398,14.2617
2.0876,3.3525
2.2138,2.1669
1.2775,2.818
2.5413,-0.0444
2.8587,-0.3609
1.2124,2.848
1.1746,1.5279
1.0246,1.9899
0.9807,4.065
0.9483,1.084
1.2899,1.7528
0.4072,2.0358
0.2823,0.8746
0.3119,1.6426
0.2434,0.5439
1.4089,4.1153
2.1445,2.0981
0.9547,2.1293
2.5944,2.1456
1.9378,-11.3093
1.1462,2.3705
2.25,2.1244
2.8089,0.7831
0.3579,0.9677
2.7509,1.5669
1.4857,2.412
1.2072,3.1538
1.632,3.9936
1.5606,1.6973
0.0466,0.1009
0.9848,3.0565
1.0812,2.3911
0.3766,0.8963
1.9963,2.3062
0.5795,0.6167
1.5994,2.8324
0.7136,2.0939
1.5532,2.0566
0.1829,0.3746
2.8744,-1.7223
0.1009,0.6068
1.4517,1.4687
0.6141,2.3721
0.2492,0.9216
1.521,-6.7969
0.8646,2.0112
1.2125,2.998
0.6308,12.2573
0.1624,1.1879
2.8544,0.8224
2.5025,1.463
0.0746,0.5661
1.0539,3.2289
0.2501,0.6716
0.7506,1.6503
2.9541,-1.1196
0.2401,1.0359
1.8366,2.9883
1.1276,0.8331
2.8916,0.9503
0.6989,1.321
0.8841,1.0054
0.3779,1.612
1.5512,1.822
0.6238,-12.4753
2.6707,1.9236
1.1376,2.2761
2.1769,2.243
1.5519,2.2011
