unit_id,effect
1,-0.4033
1,-0.5623
1,-0.1423
1,-0.7869
1,1.6141
1,0.1781
1,-0.0125
1,1.0435
2,1.0843
2,0.0957
2,2.4294
2,0.289
2,2.4236
2,0.6373
2,2.3254
2,0.4002
3,-0.2483
3,-1.1544
3,-1.3834
3,0.146
3,0.0882
3,0.2254
3,1.039
3,-0.6604
4,-0.445
4,-2.0026
4,1.1941
4,-0.2134
4,0.256
4,-1.897
4,-1.0207
4,-2.4226
5,2.5132
5,1.7054
5,1.4688
5,1.8979
5,1.7134
5,1.7381
5,2.0384
5,1.419
6,0.9181
6,2.0324
6,0.4841
6,0.208
6,0.0216
6,-0.1455
6,0.3024
6,2.1815
7,-2.3304
7,0.2774
7,-0.302
7,0.3002
7,-0.5485
7,-0.5025
7,1.0919
7,-1.7952
8,0.514
8,0.3563
8,-0.5562
8,-0.7
8,0.4281
8,-2.4453
8,-1.116
8,-2.6018
9,1.211
9,2.9618
9,3.5317
9,3.0102
9,1.3481
9,1.6278
9,1.3913
9,0.9394
10,0.0762
10,0.8563
10,0.6068
10,-1.0588
10,-0.1262
10,-1.0757
10,-0.079
10,-1.0428
11,-1.7438
11,-0.7702
11,-0.149
11,0.1616
11,2.1261
11,-1.489
11,-0.0239
11,-0.8955
12,-0.1117
12,0.7127
12,-0.1252
12,-1.453
12,-0.184
12,-0.0062
12,-1.2014
12,0.1034
13,1.5694
13,0.1429
13,1.2363
13,-0.3298
13,0.0588
13,-0.8877
13,0.3336
13,0.2492
14,-1.0297
14,-0.7842
14,-0.2575
14,-1.4273
14,0.6372
14,-0.9481
14,-0.1222
14,0.1862
15,-1.0807
15,-1.9969
15,1.3636
15,-0.3168
15,-1.3153
15,0.2804
15,0.6678
15,-0.2945
16,-3.6311
16,-0.8072
16,-1.4133
16,-2.1334
16,-2.5442
16,-0.9189
16,-0.1222
16,-0.2742
17,-0.7901
17,-1.5281
17,-0.8534
17,-1.3615
17,0.2298
17,-0.4163
17,-0.3108
17,-1.8046
18,-0.9319
18,-1.857
18,-0.7713
18,0.4851
18,-0.5155
18,1.2032
18,-0.0085
18,0.0439
19,-0.2757
19,-0.5632
19,-0.9308
19,0.376
19,0.8455
19,0.5111
19,-1.1102
19,0.5715
20,2.2087
20,1.8709
20,1.9886
20,1.1651
20,0.8518
20,1.7537
20,1.7171
20,1.9454
