unit_id,predictor,response
1,1.7563,2.1178
1,0.5324,1.0222
1,0.174,1.8923
1,-0.5404,2.7879
1,-0.6677,2.589
1,-1.1238,1.9723
1,1.8286,1.6551
1,0.027,1.7714
1,-1.9008,2.3637
1,1.3812,0.8979
1,0.6931,0.1583
1,0.0134,1.5049
1,-1.4466,1.9998
1,1.6078,1.2302
1,-0.5145,2.2799
1,-0.3013,2.37
1,0.4765,1.8107
1,-0.5804,2.7789
1,-1.4862,2.5303
1,-1.1065,1.9339
2,0.7526,1.9335
2,0.7322,3.1032
2,-1.7817,6.2742
2,-0.6731,4.1571
2,-0.4797,4.5438
2,-0.2514,3.5792
2,0.385,2.9191
2,-0.3545,2.2953
2,0.1968,2.4912
2,-1.9569,6.4175
2,1.2793,1.3303
2,-1.4737,4.5348
2,-1.2986,6.209
2,-0.5862,5.1695
2,-0.0089,3.3981
2,0.35,2.454
2,1.1075,1.2456
2,-0.4036,3.9804
2,0.862,1.9266
2,-0.6838,3.3841
3,1.1226,2.259
3,0.2782,0.9222
3,-1.4947,0.4987
3,1.8188,2.5156
3,-1.9198,0.4412
3,-1.1147,1.4068
3,1.772,2.5579
3,-1.5082,1.6167
3,0.9979,2.1178
3,-0.3884,1.5112
3,0.0685,0.6369
3,1.0996,1.9098
3,0.2662,1.7203
3,1.1313,0.9728
3,1.0421,0.8421
3,0.1262,1.3523
3,1.9657,1.874
3,1.9277,0.1635
3,-1.492,1.3176
3,1.3105,1.5123
4,-0.2154,0.9653
4,-1.4579,4.9665
4,-1.0877,2.7418
4,-1.2441,2.9534
4,-1.4473,3.5612
4,1.9667,-1.4435
4,0.3742,0.5702
4,-0.8101,1.8551
4,-1.2576,1.7412
4,-1.5069,2.8508
4,-1.3804,2.7587
4,-1.5707,4.7261
4,0.597,-0.6528
4,1.065,-0.6367
4,-0.366,1.6018
4,-1.38,2.4762
4,-0.1856,2.2773
4,0.2708,-0.1314
4,-1.4712,3.8684
4,-0.2389,1.4934
5,-0.801,1.1069
5,0.3896,2.285
5,0.0661,1.9809
5,1.5673,0.7966
5,0.4049,0.139
5,-1.6019,1.3388
5,0.9631,0.6663
5,1.1989,1.5196
5,-0.0117,0.0446
5,1.2243,0.5898
5,0.2574,1.4272
5,-1.7311,1.0691
5,1.8556,1.5754
5,-1.4416,-0.1805
5,0.517,0.9182
5,-1.1991,1.1301
5,1.1384,-0.0558
5,-0.798,1.4085
5,-0.8701,0.835
5,0.236,0.8504
6,-1.921,0.8522
6,-0.2801,1.0048
6,1.1614,5.0042
6,-1.6912,-0.2764
6,0.7645,3.208
6,-1.6507,0.3322
6,0.5955,2.7023
6,1.7523,3.7158
6,-0.3761,3.2024
6,-1.7805,0.3736
6,-1.5322,2.1782
6,0.5408,2.89
6,0.3423,3.272
6,0.6796,3.0391
6,-0.7541,2.4822
6,0.2343,2.8098
6,0.0084,3.0428
6,-0.8789,2.2512
6,-0.2189,1.5979
6,0.1333,3.3262
7,-0.5808,0.1323
7,-1.1845,-0.4343
7,0.6811,-0.7446
7,1.0009,0.9741
7,-0.8236,0.7735
7,0.4828,0.9754
7,0.8868,0.9105
7,-1.9664,-1.044
7,0.1815,1.3903
7,-0.0527,0.5525
7,1.746,0.7866
7,-0.6053,-1.3469
7,-1.2562,0.343
7,-0.0748,-0.0794
7,-1.2745,-0.9252
7,1.6544,1.2942
7,-0.917,0.3514
7,-1.4708,-0.0937
7,0.142,1.1595
7,1.5332,1.4806
8,1.7908,0.2804
8,1.4031,0.7173
8,1.1412,1.2057
8,1.4423,0.4558
8,-1.6142,3.7216
8,1.4897,0.5343
8,0.965,0.9407
8,0.3231,1.7553
8,-0.6114,2.4171
8,-1.8044,2.9925
8,1.4319,1.4359
8,0.8348,1.0131
8,-0.9408,3.607
8,1.1461,0.8303
8,0.9563,1.0705
8,-0.8458,3.3767
8,0.6379,0.843
8,-1.0425,1.7342
8,-0.7882,2.5234
8,-1.4888,2.9858
9,0.7269,1.3
9,-0.5999,0.87
9,-1.4615,-0.1935
9,-0.6952,0.5239
9,1.0484,0.0933
9,1.167,0.2321
9,1.4852,0.7512
9,0.7848,0.1327
9,1.3803,0.0948
9,1.5557,1.7879
9,-1.7312,0.1802
9,1.5269,1.1145
9,0.4603,1.5865
9,0.1928,0.4787
9,1.4418,1.682
9,-1.6189,-0.0231
9,0.9769,1.4847
9,-1.8033,-0.5567
9,-1.0598,-0.1933
9,-0.9127,-0.8631
10,-1.2537,1.838
10,1.2407,0.3301
10,0.458,1.5273
10,-0.4798,0.7524
10,-1.8278,1.9684
10,-0.0678,0.8941
10,-0.1249,1.0984
10,0.9979,-0.0251
10,0.0729,1.6101
10,1.0458,1.694
10,1.3327,0.6638
10,0.3988,1.8446
10,-1.3527,1.2745
10,-0.5846,0.1177
10,-0.5612,2.0363
10,1.1031,0.5944
10,0.2221,1.3124
10,-1.2457,2.0579
10,0.7296,-0.2785
10,1.5092,0.8804
11,-0.4186,2.2704
11,-0.9793,2.9101
11,0.663,-0.1103
11,0.9993,-0.1841
11,0.7646,0.3533
11,-1.9547,4.0805
11,-1.8202,4.6883
11,-0.362,1.1846
11,0.0608,1.6305
11,0.4858,1.5625
11,1.7704,-0.163
11,0.6011,0.682
11,-1.4614,4.0326
11,-1.5976,2.715
11,-0.6037,0.6556
11,-1.034,2.5463
11,0.8097,-0.0668
11,0.204,0.7853
11,1.6508,-1.103
11,-1.7721,3.9258
12,-0.7958,3.6077
12,-1.8475,3.1192
12,-0.6375,2.8671
12,-1.8513,2.509
12,-1.782,2.631
12,-0.8482,4.3896
12,-1.7353,3.1769
12,-0.5333,4.14
12,1.4691,2.7887
12,-1.7491,2.1274
12,-1.1919,2.4571
12,0.2138,0.5616
12,-1.4616,3.1469
12,-0.27,2.741
12,0.2701,2.4168
12,-1.7895,2.8492
12,-1.9922,3.5921
12,0.4485,3.6642
12,-1.476,3.4023
12,-1.3018,2.3631
13,1.6503,0.3779
13,1.3364,-1.9128
13,-0.8622,1.9429
13,1.5409,0.5542
13,0.2112,-0.1396
13,1.803,0.1477
13,-1.0752,0.1984
13,0.2478,0.1839
13,-1.7259,0.5024
13,-0.9463,0.6074
13,-1.584,1.5173
13,1.7551,0.0746
13,1.8767,1.2174
13,0.1886,2.2768
13,-0.2951,1.9527
13,0.9248,0.7378
13,0.1192,0.7486
13,-0.4956,0.2781
13,1.2037,0.38
13,-1.2498,0.5397
14,-1.5339,7.5386
14,-0.8741,5.4349
14,1.9578,-1.8735
14,-0.7815,5.1019
14,-1.387,7.4043
14,1.7186,-1.7499
14,1.9757,-2.6569
14,-1.4371,6.9757
14,1.4953,-0.7982
14,0.9518,1.7747
14,0.8556,2.0238
14,-1.1276,5.6315
14,-1.6009,8.0601
14,1.442,-1.334
14,-1.6162,7.3238
14,-0.4032,4.3275
14,0.7429,0.6917
14,0.8435,2.3245
14,0.0436,2.0694
14,-0.6333,4.7684
15,-1.6063,-1.5454
15,-1.1244,-0.538
15,0.6267,2.6886
15,-1.8937,-0.8982
15,-0.2798,0.7552
15,0.5629,2.6149
15,1.5745,2.8545
15,0.4465,1.6983
15,0.93,2.8586
15,1.9466,4.6323
15,1.0679,2.4631
15,0.1256,1.5469
15,-0.4006,1.3155
15,-1.4144,-1.5661
15,0.7268,2.3883
15,1.5086,2.2265
15,0.7162,1.7095
15,0.9566,2.1309
